"entity_key","date","year","year_season","year_quarter","year_month","year_week","season_number","season","season_de","season_einkauf","month","week","day_of_month","day_of_week","day_name","month_name","last_day_of_month","last_day_of_week","business_day","working_days","next_ship_day"
1,2012-01-01,2012,"2012-1-SS","2012-Q1","2012-01","2011-52",1,SS,FS,FS12,1,52,1,7,Sunday   ,January  ,2012-01-31,2012-01-01,2012-01-02,0,2012-01-02
2,2012-01-02,2012,"2012-1-SS","2012-Q1","2012-01","2012-01",1,SS,FS,FS12,1,1,2,1,Monday   ,January  ,2012-01-31,2012-01-08,2012-01-02,1,2012-01-03
3,2012-01-03,2012,"2012-1-SS","2012-Q1","2012-01","2012-01",1,SS,FS,FS12,1,1,3,2,Tuesday  ,January  ,2012-01-31,2012-01-08,2012-01-03,1,2012-01-04
4,2012-01-04,2012,"2012-1-SS","2012-Q1","2012-01","2012-01",1,SS,FS,FS12,1,1,4,3,Wednesday,January  ,2012-01-31,2012-01-08,2012-01-04,1,2012-01-05
5,2012-01-05,2012,"2012-1-SS","2012-Q1","2012-01","2012-01",1,SS,FS,FS12,1,1,5,4,Thursday ,January  ,2012-01-31,2012-01-08,2012-01-05,1,2012-01-06
6,2012-01-06,2012,"2012-1-SS","2012-Q1","2012-01","2012-01",1,SS,FS,FS12,1,1,6,5,Friday   ,January  ,2012-01-31,2012-01-08,2012-01-06,1,2012-01-09
7,2012-01-07,2012,"2012-1-SS","2012-Q1","2012-01","2012-01",1,SS,FS,FS12,1,1,7,6,Saturday ,January  ,2012-01-31,2012-01-08,2012-01-09,0,2012-01-09
8,2012-01-08,2012,"2012-1-SS","2012-Q1","2012-01","2012-01",1,SS,FS,FS12,1,1,8,7,Sunday   ,January  ,2012-01-31,2012-01-08,2012-01-09,0,2012-01-09
9,2012-01-09,2012,"2012-1-SS","2012-Q1","2012-01","2012-02",1,SS,FS,FS12,1,2,9,1,Monday   ,January  ,2012-01-31,2012-01-15,2012-01-09,1,2012-01-10
10,2012-01-10,2012,"2012-1-SS","2012-Q1","2012-01","2012-02",1,SS,FS,FS12,1,2,10,2,Tuesday  ,January  ,2012-01-31,2012-01-15,2012-01-10,1,2012-01-11
11,2012-01-11,2012,"2012-1-SS","2012-Q1","2012-01","2012-02",1,SS,FS,FS12,1,2,11,3,Wednesday,January  ,2012-01-31,2012-01-15,2012-01-11,1,2012-01-12
12,2012-01-12,2012,"2012-1-SS","2012-Q1","2012-01","2012-02",1,SS,FS,FS12,1,2,12,4,Thursday ,January  ,2012-01-31,2012-01-15,2012-01-12,1,2012-01-13
13,2012-01-13,2012,"2012-1-SS","2012-Q1","2012-01","2012-02",1,SS,FS,FS12,1,2,13,5,Friday   ,January  ,2012-01-31,2012-01-15,2012-01-13,1,2012-01-16
14,2012-01-14,2012,"2012-1-SS","2012-Q1","2012-01","2012-02",1,SS,FS,FS12,1,2,14,6,Saturday ,January  ,2012-01-31,2012-01-15,2012-01-16,0,2012-01-16
15,2012-01-15,2012,"2012-1-SS","2012-Q1","2012-01","2012-02",1,SS,FS,FS12,1,2,15,7,Sunday   ,January  ,2012-01-31,2012-01-15,2012-01-16,0,2012-01-16
16,2012-01-16,2012,"2012-1-SS","2012-Q1","2012-01","2012-03",1,SS,FS,FS12,1,3,16,1,Monday   ,January  ,2012-01-31,2012-01-22,2012-01-16,1,2012-01-17
17,2012-01-17,2012,"2012-1-SS","2012-Q1","2012-01","2012-03",1,SS,FS,FS12,1,3,17,2,Tuesday  ,January  ,2012-01-31,2012-01-22,2012-01-17,1,2012-01-18
18,2012-01-18,2012,"2012-1-SS","2012-Q1","2012-01","2012-03",1,SS,FS,FS12,1,3,18,3,Wednesday,January  ,2012-01-31,2012-01-22,2012-01-18,1,2012-01-19
19,2012-01-19,2012,"2012-1-SS","2012-Q1","2012-01","2012-03",1,SS,FS,FS12,1,3,19,4,Thursday ,January  ,2012-01-31,2012-01-22,2012-01-19,1,2012-01-20
20,2012-01-20,2012,"2012-1-SS","2012-Q1","2012-01","2012-03",1,SS,FS,FS12,1,3,20,5,Friday   ,January  ,2012-01-31,2012-01-22,2012-01-20,1,2012-01-23
21,2012-01-21,2012,"2012-1-SS","2012-Q1","2012-01","2012-03",1,SS,FS,FS12,1,3,21,6,Saturday ,January  ,2012-01-31,2012-01-22,2012-01-23,0,2012-01-23
22,2012-01-22,2012,"2012-1-SS","2012-Q1","2012-01","2012-03",1,SS,FS,FS12,1,3,22,7,Sunday   ,January  ,2012-01-31,2012-01-22,2012-01-23,0,2012-01-23
23,2012-01-23,2012,"2012-1-SS","2012-Q1","2012-01","2012-04",1,SS,FS,FS12,1,4,23,1,Monday   ,January  ,2012-01-31,2012-01-29,2012-01-23,1,2012-01-24
24,2012-01-24,2012,"2012-1-SS","2012-Q1","2012-01","2012-04",1,SS,FS,FS12,1,4,24,2,Tuesday  ,January  ,2012-01-31,2012-01-29,2012-01-24,1,2012-01-25
25,2012-01-25,2012,"2012-1-SS","2012-Q1","2012-01","2012-04",1,SS,FS,FS12,1,4,25,3,Wednesday,January  ,2012-01-31,2012-01-29,2012-01-25,1,2012-01-26
26,2012-01-26,2012,"2012-1-SS","2012-Q1","2012-01","2012-04",1,SS,FS,FS12,1,4,26,4,Thursday ,January  ,2012-01-31,2012-01-29,2012-01-26,1,2012-01-27
27,2012-01-27,2012,"2012-1-SS","2012-Q1","2012-01","2012-04",1,SS,FS,FS12,1,4,27,5,Friday   ,January  ,2012-01-31,2012-01-29,2012-01-27,1,2012-01-30
28,2012-01-28,2012,"2012-1-SS","2012-Q1","2012-01","2012-04",1,SS,FS,FS12,1,4,28,6,Saturday ,January  ,2012-01-31,2012-01-29,2012-01-30,0,2012-01-30
29,2012-01-29,2012,"2012-1-SS","2012-Q1","2012-01","2012-04",1,SS,FS,FS12,1,4,29,7,Sunday   ,January  ,2012-01-31,2012-01-29,2012-01-30,0,2012-01-30
30,2012-01-30,2012,"2012-1-SS","2012-Q1","2012-01","2012-05",1,SS,FS,FS12,1,5,30,1,Monday   ,January  ,2012-01-31,2012-02-05,2012-01-30,1,2012-01-31
